;Telereklaam;Raadioreklaam;Internetireklaam;Välireklaam;Ajakirjandusreklaam;Reklaamtrükised;Kokku
"Eesti Keskerakond";"386 677";"18 100";"204 628";"252 404";"53 552";"54 106";"969 467"
"Eesti Konservatiivne Rahvaerakond";"244 603";"34 570";"117 714";"50 542";"15 239";"39 552";"502 220"
"Eesti Reformierakond";"442 405";"67 251";"230 842";"226 720";"129 418";"147 896";"1 244 532"
"Eesti Vabaerakond";"63 282";"19 807";"83 634";"3 587";"37 582";"35 839";"243 731"
"EESTIMAA ÜHENDATUD VASAKPARTEI";0;0;0;0;0;233;233
"Elurikkuse Erakond";0;"3 085";"10 073";0;"13 687";"29 567";"56 412"
"Erakond Eesti 200";"30 837";"22 271";"57 124";"17 670";"39 537";"69 061";"236 500"
"Erakond Eestimaa Rohelised";720;0;"12 144";"1 186";"2 387";"4 313";"20 750"
"ISAMAA Erakond";"297 082";"58 952";"165 112";"104 650";"26 412";"359 938";"1 012 145"
"Rahva Ühtsuse Erakond";0;0;0;0;0;0;0
"Sotsiaaldemokraatlik Erakond";"200 142";"56 880";"131 742";"145 569";"128 649";"240 747";"903 728"
Kokku:;"1 665 748";"280 916";"1 013 013";"802 327";"446 462";"981 250";"5 189 716"
"Erakondi kokku:";11
