OMADUSSÕNA_VANA;1_kuu;2_töövõte;3_naine;4_tõlge;5_laine;6_kaevandamismeetod;7_särk;8_juhataja;9_uskumus;10_siga;11_seljahäda;12_prosoodiakäsitlus;13_nali;14_tegija;15_koht;16_struktuur;KATSELAUSE
1_kuu;0.000;11.000;7.250;9.250;5.250;11.500;10.000;10.625;9.250;11.125;10.750;10.000;7.375;10.125;9.875;11.625;Ainult vanaisa räägib veel vundamendi rajamisest ja majapalgi langetamisest #vana# kuu ajal.
2_töövõte;11.000;0.000;8.750;4.250;9.875;3.750;9.000;8.125;3.375;11.000;8.125;3.500;7.875;6.750;7.750;5.625;Hoidke au sees #vanu# töövõtteid, tehke ise juustu ja leiba.
3_naine;7.250;8.750;0.000;8.625;8.375;9.250;5.125;10.625;7.625;8.000;7.000;8.000;7.625;10.875;11.125;11.375;Jõudsime sinna õhtul, kui hulk musta riietatud #vanu# naisi parajasti kirikusse läks.
4_tõlge;9.250;4.250;8.625;0.000;10.000;3.375;6.750;5.250;4.625;12.750;7.625;2.125;9.125;9.125;6.625;4.250;Võimalik, et #vana# tõlge kipub nüüdisaja keskmise inimese keeletajule juba liiga keeruliseks muutuma, ent uus peaks küll olema kõigile mõistetav.
5_laine;5.250;9.875;8.375;10.000;0.000;10.500;6.125;10.750;10.000;9.625;11.125;10.625;6.375;13.375;10.750;10.625;Eemal ulgumerel nähti veel vaibuva põhjatuule jälgi: kerget #vana# laine kohamist karidel, laiad väljad vaikivat vett.
6_kaevandamismeetod;11.500;3.750;9.250;3.375;10.500;0.000;5.500;7.375;4.000;12.125;8.000;2.375;5.875;10.500;7.625;2.500;Ahtme kaevanduses, mis on põlevkivibasseini üheks eesrindlikumaks kaevanduseks, on täiesti loobutud igasugustest #vanadest# kaevandamismeetodeist.
7_särk;10.000;9.000;5.125;6.750;6.125;5.500;0.000;9.625;9.375;8.875;7.125;6.875;6.125;9.375;8.500;9.500;Käristasime mõned #vanad# särgid siiludeks ja sidusime tarale lipendama.
8_juhataja;10.625;8.125;10.625;5.250;10.750;7.375;9.625;0.000;7.375;9.875;10.125;5.625;10.125;7.125;3.125;4.125;Kui ettevõttes vahetub juhataja, kas siis tuleb töötajate töölepingud ümber teha, kuna #vana# juhataja sõlmis lepingud ja töötajad allusid temale?
9_uskumus;9.250;3.375;7.625;4.625;10.000;4.000;9.375;7.375;0.000;11.625;7.500;3.250;6.750;8.000;7.500;5.375;#Vanade# uskumuste järgi andis mingi asja päritolu teadmine inimesele võimu selle asja üle.
10_siga;11.125;11.000;8.000;12.750;9.625;12.125;8.875;9.875;11.625;0.000;7.875;12.375;7.625;6.875;12.500;11.000;Sa #vana# siga ei kuivatanud hommikul vannitoa põrandat ära ja ma ei saanud sellepärast dušši alla minna.
11_seljahäda;10.750;8.125;7.000;7.625;11.125;8.000;7.125;10.125;7.500;7.875;0.000;8.500;3.625;4.750;8.625;7.375;Tema tervis oli koormusele enam-vähem vastu pidanud, vahepeal andis tunda #vana# seljahäda.
12_prosoodiakäsitlus;10.000;3.500;8.000;2.125;10.625;2.375;6.875;5.625;3.250;12.375;8.500;0.000;8.750;8.375;6.875;4.125;Mitmete õigete tähelepanekute kõrval püsib Wiedemann #vanale# prosoodiakäsitlusele omasel seisukohal, et eesti keeles on sõnarõhuline silp sõnarõhutust silbist umbes kaks korda pikem.
13_nali;7.375;7.875;7.625;9.125;6.375;5.875;6.125;10.125;6.750;7.625;3.625;8.750;0.000;4.375;10.375;6.750;See on juba #vana# nali, et kui tahad ära tunda pärnakat, siis vaata suvel, kes on kõige valgema nahaga, see ongi ilmselt pärnakas.
14_tegija;10.125;6.750;10.875;9.125;13.375;10.500;9.375;7.125;8.000;6.875;4.750;8.375;4.375;0.000;9.875;6.750;81 kg kaalus oli parim #vana# tegija Valeri Semiskur (Narvast), kes alistas jõhvlase Deniss Kondrashovi ilmse ülekaaluga.
15_koht;9.875;7.750;11.125;6.625;10.750;7.625;8.500;3.125;7.500;12.500;8.625;6.875;10.375;9.875;0.000;6.000;Paljud maailmakuulsad kunstiteosed on järeltulevatele põlvedele säilinud koopiatena, mälestusmärgile tagaks ehtsuse selle püstitamine #vanasse# kohta.
16_struktuur;11.625;5.625;11.375;4.250;10.625;2.500;9.500;4.125;5.375;11.000;7.375;4.125;6.750;6.750;6.000;0.000;Keegi ei taha loobuda ei oma võimupiirkonnast, ei materiaalsetest vahenditest ega ametikohtadest – ning reform taandubki ringmängule #vanas# struktuuris.
